date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi,macd,macd_signal,macd_histogram,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr
2023-01-01,101.24495592684524,101.25258832558647,100.95937827668854,101.01858088185742,4877210.142476396,,,,101.01858088185742,101.01858088185742,,0.0,0.0,0.0,,,,,,
2023-01-02,99.98088853893185,102.13560255931478,99.73530069132478,100.7597714302783,3782994.7559384685,,,,100.97876404315294,100.99940981137007,,-0.02064576821713615,-0.004129153643427231,-0.01651661457370892,,,,,,
2023-01-03,104.29216541578015,104.76221443648532,101.55954584194025,102.09389752410137,1181785.5213658316,,,,101.15032304022192,101.0804829752761,,0.06984006494582218,0.010664690074422651,0.059175374871399525,,,,,,
2023-01-04,105.46564839977388,105.53571698573943,104.65596759927482,105.27263943114711,3480530.391206147,,,,101.78452556190271,101.3910130831184,,0.3935124787843165,0.08723424781640143,0.30627823096791507,,,,,,
2023-01-05,103.92170818600741,105.17865577741453,102.5861802360276,104.80175138336149,3334624.447403488,,,,102.24871414981945,101.64366036461789,,0.6050537852015623,0.1907981552934336,0.4142556299081287,,,,,,
2023-01-06,103.78446788468673,105.53035439085264,103.55755833796316,104.33300389191888,4255180.078827795,,,,102.56937411014243,101.84287099626981,,0.7265031138726243,0.29793914700927177,0.4285639668633526,,,,,,
2023-01-07,106.73479998525177,108.02029957090922,105.88164616242693,107.7024142765083,4730913.933416054,,,,103.35907259727566,102.27691123925044,,1.0821613580252176,0.454783589212461,0.6273777688127566,,,,,,
2023-01-08,111.39356831466182,111.44188229320083,109.2048998518116,109.39013313242822,4242213.323127331,,,,104.28692806422221,102.80381656467102,,1.4831114995511854,0.6604491712802059,0.8226623282709795,,,,,,
2023-01-09,106.53264062320217,109.269971835158,106.45815112485748,108.38949854874924,2659278.0093506607,,,,104.91809275414944,103.21757078571386,,1.7005219684355808,0.8684637307112809,0.8320582377242999,,,,,,
2023-01-10,110.9505479818482,111.02197826499489,109.55749096848419,109.59397587156965,4458889.505020212,,,,105.63745938759871,103.68989708836985,,1.9475622992288635,1.0842834444147975,0.863278854814066,,,,,,
2023-01-11,108.6103264606523,108.64094032111001,108.31135639164627,108.60463155989326,2802176.541240374,,,,106.09394741410557,104.05395149366788,,2.03999592043769,1.275425939619376,0.764569980818314,,,,,,
2023-01-12,108.28954823133894,109.17326801521833,107.27346652058587,107.61924185624443,3686802.737623427,,,,106.32860809751155,104.31804707608096,,2.01056102143059,1.4224529559816188,0.588108065448971,,,,,,
2023-01-13,106.50358752621582,108.99211398320419,106.2879231821865,108.16293036848161,3081230.8036151733,,,,106.61081152381465,104.60285324588841,,2.0079582779262353,1.539554020370542,0.46840425755569326,,,,,,
2023-01-14,103.34367478863487,104.19477992547282,102.37454173437514,104.12302158666695,4408726.001274161,,,,106.2280746104073,104.56731016002016,57.94710964557078,1.6607644503871484,1.5637961063738635,0.09696834401328491,37.48080391494482,,,,,2.8188039615658025
2023-01-15,102.68568916273415,103.74534267960495,100.46202964064003,100.61232280828682,1536060.913802563,,,,105.36411279469645,104.27434813396583,49.118462431170364,1.0897646607306228,1.4689898172452156,-0.37922515651459276,7.491701222340518,,,,,3.0593598113607308
2023-01-16,100.47388150509428,101.3629049021608,98.98300041491953,99.50709943286728,1851856.6460356428,,,,104.46303381595351,103.92121860055113,47.37814036919708,0.5418152154023801,1.2835548968766486,-0.7417396814742685,4.206629640348168,16.393044925877835,,,,3.057902855592965
2023-01-17,98.56349838884266,99.59269026918322,96.83877647482726,97.53120424083835,4616634.777974993,,,,103.39659849670502,103.44788420353538,40.700059975612504,-0.05128570683035605,1.0165867761352476,-1.0678724829656037,4.741647253832009,5.479992705506898,,,,2.9687221976036042
2023-01-18,96.16391670991204,98.28362221733315,94.88528875307401,98.16574415220138,4134612.0509645725,,,,102.5918516744737,103.05661457010322,33.83809567972689,-0.46476289562951933,0.7203168417822943,-1.1850797374118136,19.81358901622373,9.587288636801302,,,,2.965616054933681
2023-01-19,97.98866355893276,98.78706643044823,95.43295461195153,96.41837885215868,2836543.024953045,,,,101.64208662488677,102.56489340581103,31.981349753845976,-0.9228067809242617,0.3916921172409831,-1.3144988981652448,9.25969521066669,11.271643826907477,,,,3.013305528032052
2023-01-20,93.69971335747617,93.75527740233034,93.47295440571577,93.75179031967313,2315006.441150033,103.39260157746159,,,100.42819488562313,101.912070954986,29.220647325367125,-1.4838760693628785,0.016578479920210776,-1.5004545492830892,1.551767115452494,10.208350447447637,103.39260157746159,112.94067726263457,93.84452589228862,3.0827789847144405
2023-01-21,95.30032419805562,96.94790005166983,95.08793201660635,96.55991888968377,1727520.3375965795,103.16966847785291,,,99.83307550163245,101.5156152464451,27.62515339207947,-1.6825397448126438,-0.32324516502636014,-1.3592945797862837,17.179458358881842,9.330306895000342,103.16966847785291,113.14957359539774,93.18976336030808,3.0476942742148947
